COLUMN_NAME
ID
PARENTID
ACTIVE
DESCRIPTION
COMPANYNUMBER
USERADDED
DATECHANGED
EMPLOYEENUMBER
CONTACTID
DATEADDED
USERCHANGED
TENANT_ID
_SYNCED
