POST_MONTH,ROW_COUNT,ABS_TOTAL,POSITIVE_SUM,NEGATIVE_SUM
2026-01-01,85107,626043413.7600297,313021706.88000226,-313021706.8800135
2026-02-01,77896,354223252.98002625,177111626.49000245,-177111626.49001303
2026-03-01,84580,335577376.6400228,167788688.32000354,-167788688.32001713
