POST_MONTH,ROW_COUNT,ABS_TOTAL,POSITIVE_SUM,NEGATIVE_SUM
2026-01-01 00:00:00.000,85107,626043413.7600,313021706.8800,-313021706.8800
2026-02-01 00:00:00.000,77896,354223252.9800,177111626.4900,-177111626.4900
2026-03-01 00:00:00.000,84533,335414315.5000,167707157.7500,-167707157.7500
